IDpol,ClaimNb,Exposure,Area,VehPower,VehAge,DrivAge,BonusMalus,VehBrand,VehGas,Density,Region,ClaimAmount
34602,0.0,0.24,D,8.0,12.0,26.0,68.0,B1,Diesel,1313.0,R24,0.0
34603,0.0,0.5,D,8.0,12.0,26.0,64.0,B1,Diesel,1313.0,R24,0.0
34604,0.0,0.09,D,5.0,0.0,26.0,60.0,B3,Diesel,1313.0,R24,0.0
34605,0.0,0.04,D,5.0,0.0,26.0,57.0,B3,Diesel,1313.0,R24,0.0
34607,0.0,1.0,B,6.0,3.0,71.0,50.0,B2,Diesel,81.0,R24,0.0
34609,0.0,1.0,D,5.0,10.0,34.0,76.0,B2,Regular,1313.0,R24,0.0
34611,0.0,1.0,D,6.0,6.0,37.0,80.0,B2,Diesel,1313.0,R24,0.0
34613,0.0,1.0,C,10.0,1.0,51.0,77.0,B12,Diesel,176.0,R24,0.0
34615,0.0,0.33,C,5.0,1.0,30.0,64.0,B1,Diesel,109.0,R24,0.0
34616,0.0,0.66,C,5.0,1.0,30.0,51.0,B1,Diesel,109.0,R24,0.0
34618,0.0,1.0,D,6.0,6.0,34.0,50.0,B2,Regular,1313.0,R24,0.0
34620,0.0,1.0,A,5.0,4.0,43.0,50.0,B4,Regular,24.0,R24,0.0
34622,0.0,1.0,B,5.0,5.0,31.0,50.0,B4,Diesel,94.0,R54,0.0
34626,0.0,1.0,C,6.0,6.0,30.0,68.0,B1,Diesel,298.0,R24,0.0
34628,0.0,1.0,C,6.0,3.0,50.0,50.0,B3,Regular,102.0,R24,0.0
34630,0.0,1.0,D,7.0,1.0,82.0,50.0,B1,Regular,1313.0,R24,0.0
34633,0.0,0.5,D,9.0,9.0,58.0,101.0,B2,Regular,1313.0,R24,0.0
34634,0.0,0.00273224043715847,D,9.0,9.0,58.0,101.0,B2,Regular,1313.0,R24,0.0
34635,0.0,1.0,D,4.0,5.0,25.0,72.0,B2,Diesel,645.0,R94,0.0
34637,0.0,1.0,C,5.0,3.0,50.0,50.0,B3,Diesel,369.0,R24,0.0
34639,0.0,0.28,D,7.0,17.0,47.0,76.0,B2,Regular,1313.0,R24,0.0
34640,0.0,0.28,D,6.0,13.0,47.0,80.0,B12,Regular,1313.0,R24,0.0
34641,0.0,0.54,C,5.0,10.0,57.0,85.0,B2,Regular,280.0,R24,0.0
34642,0.0,0.45,C,5.0,10.0,57.0,80.0,B2,Regular,280.0,R24,0.0
34644,0.0,1.0,B,7.0,12.0,28.0,51.0,B1,Regular,79.0,R24,0.0
34646,0.0,1.0,D,4.0,10.0,52.0,50.0,B1,Regular,1313.0,R24,0.0
34648,0.0,0.21,C,6.0,5.0,27.0,72.0,B2,Diesel,182.0,R24,0.0
34649,0.0,0.22,D,10.0,5.0,29.0,57.0,B3,Regular,784.0,R11,0.0
34650,0.0,0.77,D,10.0,5.0,29.0,50.0,B3,Regular,784.0,R11,0.0
34652,0.0,0.16,A,10.0,12.0,60.0,50.0,B2,Diesel,9.0,R24,0.0
34653,0.0,0.83,A,10.0,12.0,60.0,50.0,B2,Diesel,9.0,R24,0.0
34656,0.0,1.0,D,4.0,17.0,40.0,51.0,B4,Regular,1313.0,R24,0.0
34658,0.0,1.0,D,5.0,4.0,30.0,57.0,B1,Regular,1313.0,R24,0.0
34660,0.0,1.0,C,5.0,7.0,51.0,50.0,B2,Regular,109.0,R24,0.0
34662,0.0,1.0,D,7.0,3.0,35.0,51.0,B2,Regular,614.0,R24,0.0
34664,0.0,1.0,C,4.0,8.0,56.0,50.0,B2,Regular,111.0,R24,0.0
34666,0.0,0.88,D,8.0,10.0,30.0,76.0,B1,Diesel,1920.0,R52,0.0
34667,0.0,0.11,D,8.0,10.0,30.0,72.0,B1,Diesel,1920.0,R52,0.0
34669,0.0,1.0,D,5.0,3.0,54.0,50.0,B5,Regular,1313.0,R24,0.0
34671,0.0,1.0,A,7.0,3.0,56.0,50.0,B6,Regular,20.0,R24,0.0
34673,0.0,0.22,A,6.0,6.0,24.0,85.0,B13,Diesel,27.0,R24,0.0
34674,0.0,0.4,A,6.0,6.0,24.0,80.0,B13,Diesel,27.0,R24,0.0
34675,0.0,0.36,A,6.0,6.0,24.0,76.0,B13,Diesel,27.0,R24,0.0
34677,0.0,1.0,A,6.0,7.0,50.0,50.0,B1,Diesel,39.0,R24,0.0
34679,0.0,1.0,C,5.0,11.0,40.0,51.0,B5,Regular,358.0,R24,0.0
34681,0.0,1.0,C,5.0,8.0,40.0,51.0,B5,Diesel,358.0,R24,0.0
34683,0.0,1.0,D,4.0,11.0,33.0,50.0,B2,Regular,1313.0,R24,0.0
34685,0.0,0.64,A,6.0,15.0,51.0,50.0,B3,Diesel,17.0,R24,0.0
34687,0.0,0.24,C,7.0,4.0,30.0,56.0,B2,Regular,497.0,R82,0.0
34688,0.0,0.2,C,7.0,4.0,30.0,51.0,B2,Regular,497.0,R82,0.0
34689,0.0,0.00546448087431694,C,10.0,0.0,30.0,51.0,B11,Regular,497.0,R82,0.0
34690,0.0,0.04,C,10.0,0.0,30.0,51.0,B11,Regular,497.0,R82,0.0
34693,0.0,1.0,C,4.0,4.0,51.0,50.0,B2,Regular,298.0,R24,0.0
34695,0.0,0.45,D,5.0,11.0,55.0,85.0,B2,Regular,1313.0,R24,0.0
34696,0.0,0.51,D,5.0,8.0,40.0,80.0,B3,Regular,1313.0,R24,0.0
34697,0.0,0.25,D,5.0,8.0,40.0,125.0,B3,Regular,1313.0,R24,0.0
34698,0.0,0.23,D,5.0,8.0,40.0,125.0,B3,Regular,1313.0,R24,0.0
34700,0.0,0.41,B,6.0,5.0,32.0,51.0,B1,Diesel,86.0,R24,0.0
34701,0.0,0.58,B,6.0,5.0,32.0,50.0,B1,Diesel,86.0,R24,0.0
34703,0.0,0.46,C,6.0,6.0,32.0,72.0,B1,Diesel,101.0,R24,0.0
34704,0.0,0.53,C,6.0,6.0,32.0,64.0,B1,Diesel,101.0,R24,0.0
34706,0.0,1.0,D,6.0,4.0,40.0,50.0,B3,Regular,1313.0,R24,0.0
34708,0.0,1.0,A,4.0,20.0,38.0,85.0,B1,Regular,24.0,R24,0.0
34711,0.0,1.0,C,5.0,1.0,52.0,50.0,B2,Diesel,298.0,R24,0.0
34713,1.0,1.0,D,7.0,4.0,60.0,50.0,B5,Diesel,1341.0,R21,459.14
34715,0.0,0.04,D,7.0,7.0,46.0,77.0,B2,Regular,614.0,R24,0.0
34716,0.0,0.1,B,6.0,4.0,30.0,54.0,B3,Diesel,71.0,R24,0.0
34717,0.0,1.0,D,6.0,15.0,41.0,76.0,B1,Diesel,1313.0,R24,0.0
34719,1.0,0.74,D,6.0,11.0,47.0,50.0,B1,Diesel,1313.0,R24,364.81
34720,1.0,1.0,B,7.0,1.0,46.0,53.0,B1,Diesel,84.0,R24,1128.12
34722,0.0,1.0,B,6.0,8.0,33.0,60.0,B1,Diesel,57.0,R24,0.0
34725,0.0,1.0,C,6.0,12.0,34.0,50.0,B3,Regular,298.0,R24,0.0
34727,1.0,1.0,A,7.0,7.0,65.0,50.0,B12,Regular,30.0,R24,1745.23
34730,0.0,0.21,C,7.0,6.0,52.0,50.0,B2,Diesel,298.0,R24,0.0
34731,0.0,1.0,E,11.0,6.0,52.0,50.0,B2,Regular,2426.0,R11,0.0
34733,0.0,0.04,C,5.0,16.0,34.0,51.0,B2,Regular,298.0,R24,0.0
34734,0.0,0.95,C,6.0,6.0,34.0,50.0,B2,Diesel,298.0,R24,0.0
34736,1.0,0.25,C,7.0,4.0,54.0,50.0,B11,Regular,214.0,R24,1733.76
34737,0.0,0.51,C,6.0,4.0,53.0,50.0,B2,Diesel,105.0,R24,0.0
34738,1.0,0.48,C,6.0,4.0,53.0,50.0,B2,Diesel,105.0,R24,324.04
34740,0.0,0.72,B,6.0,10.0,35.0,50.0,B1,Diesel,83.0,R24,0.0
34741,0.0,0.27,B,11.0,7.0,35.0,50.0,B10,Regular,83.0,R24,0.0
34744,0.0,1.0,A,6.0,4.0,37.0,50.0,B1,Diesel,24.0,R24,0.0
34746,0.0,0.83,D,6.0,2.0,62.0,50.0,B2,Diesel,1313.0,R24,0.0
34747,0.0,0.05,D,5.0,0.0,62.0,50.0,B2,Diesel,1313.0,R24,0.0
34748,0.0,0.1,D,5.0,0.0,62.0,50.0,B2,Diesel,1313.0,R24,0.0
34750,0.0,1.0,C,7.0,4.0,45.0,50.0,B12,Regular,214.0,R24,0.0
34752,0.0,0.07,A,5.0,10.0,24.0,76.0,B5,Diesel,19.0,R24,0.0
34753,0.0,0.29,A,5.0,10.0,24.0,72.0,B5,Diesel,19.0,R24,0.0
34754,1.0,0.63,A,5.0,10.0,24.0,72.0,B5,Diesel,19.0,R24,156.68
34758,0.0,0.23,A,6.0,10.0,51.0,50.0,B2,Diesel,20.0,R24,0.0
34759,0.0,0.31,A,6.0,10.0,51.0,50.0,B2,Diesel,20.0,R24,0.0
34760,0.0,0.44,A,6.0,10.0,51.0,50.0,B2,Diesel,20.0,R24,0.0
34763,0.0,0.36,D,6.0,8.0,43.0,95.0,B2,Regular,1313.0,R24,0.0
34764,0.0,0.63,D,6.0,8.0,43.0,80.0,B2,Regular,1313.0,R24,0.0
34766,0.0,1.0,C,4.0,9.0,32.0,64.0,B3,Diesel,214.0,R24,0.0
34768,0.0,0.49,C,7.0,5.0,52.0,50.0,B2,Diesel,298.0,R24,0.0
34769,0.0,0.5,C,7.0,5.0,52.0,50.0,B2,Diesel,298.0,R24,0.0
34771,0.0,1.0,D,7.0,9.0,47.0,50.0,B11,Diesel,1812.0,R11,0.0
34773,0.0,1.0,D,6.0,8.0,54.0,50.0,B1,Diesel,1313.0,R24,0.0
34775,0.0,0.96,B,4.0,11.0,29.0,85.0,B6,Regular,83.0,R24,0.0
34776,0.0,0.15,D,5.0,2.0,44.0,50.0,B3,Diesel,1313.0,R24,0.0
34777,0.0,0.84,D,5.0,2.0,44.0,50.0,B3,Diesel,1313.0,R24,0.0
34780,0.0,1.0,C,4.0,2.0,24.0,80.0,B1,Regular,106.0,R24,0.0
34784,0.0,0.37,D,4.0,13.0,47.0,50.0,B1,Regular,1313.0,R24,0.0
34785,0.0,0.28,D,4.0,13.0,47.0,50.0,B1,Regular,1313.0,R24,0.0
34787,0.0,0.18,B,5.0,12.0,32.0,54.0,B2,Diesel,86.0,R24,0.0
34788,0.0,0.31,B,6.0,6.0,32.0,51.0,B13,Regular,86.0,R24,0.0
34789,0.0,0.48,B,6.0,6.0,32.0,51.0,B13,Regular,86.0,R24,0.0
34790,0.0,0.01,B,6.0,6.0,32.0,50.0,B13,Regular,86.0,R24,0.0
34792,0.0,0.26,C,7.0,5.0,38.0,72.0,B6,Diesel,464.0,R26,0.0
34793,0.0,0.19,C,7.0,3.0,38.0,68.0,B6,Diesel,464.0,R26,0.0
34794,0.0,0.03,C,7.0,3.0,38.0,68.0,B6,Diesel,464.0,R26,0.0
34795,0.0,0.5,C,7.0,3.0,38.0,64.0,B6,Diesel,464.0,R26,0.0
34797,0.0,1.0,D,4.0,3.0,43.0,50.0,B1,Regular,614.0,R24,0.0
34799,0.0,1.0,A,4.0,4.0,47.0,50.0,B2,Regular,16.0,R24,0.0
34801,0.0,1.0,A,7.0,8.0,29.0,50.0,B3,Regular,37.0,R24,0.0
34803,0.0,1.0,D,9.0,13.0,32.0,54.0,B2,Regular,1313.0,R24,0.0
34805,0.0,0.9,B,7.0,3.0,49.0,50.0,B4,Regular,83.0,R24,0.0
34806,0.0,0.09,B,5.0,0.0,49.0,50.0,B1,Regular,83.0,R24,0.0
34808,0.0,1.0,C,8.0,12.0,30.0,50.0,B1,Diesel,102.0,R24,0.0
34810,0.0,0.74,D,7.0,7.0,54.0,50.0,B2,Diesel,614.0,R24,0.0
34811,0.0,0.25,D,7.0,7.0,54.0,50.0,B2,Diesel,614.0,R24,0.0
34815,0.0,1.0,D,7.0,3.0,44.0,50.0,B12,Regular,1313.0,R24,0.0
34817,0.0,1.0,D,10.0,4.0,53.0,50.0,B13,Diesel,1313.0,R24,0.0
34819,0.0,0.22,C,6.0,8.0,45.0,67.0,B2,Diesel,222.0,R24,0.0
34820,0.0,0.77,C,6.0,8.0,45.0,50.0,B2,Diesel,222.0,R24,0.0
34822,0.0,1.0,B,6.0,6.0,57.0,50.0,B3,Regular,86.0,R24,0.0
34824,0.0,1.0,D,5.0,9.0,68.0,50.0,B1,Regular,1313.0,R24,0.0
34826,0.0,1.0,D,7.0,7.0,35.0,50.0,B11,Regular,1313.0,R24,0.0
34828,0.0,1.0,D,7.0,3.0,47.0,64.0,B4,Regular,1313.0,R24,0.0
34832,0.0,0.67,C,7.0,8.0,24.0,68.0,B1,Regular,420.0,R11,0.0
34833,0.0,0.32,C,7.0,8.0,24.0,60.0,B1,Regular,420.0,R11,0.0
34835,0.0,1.0,D,6.0,2.0,48.0,50.0,B1,Regular,1313.0,R24,0.0
34837,0.0,1.0,D,6.0,3.0,40.0,50.0,B1,Diesel,614.0,R24,0.0
34839,0.0,1.0,D,11.0,11.0,58.0,50.0,B10,Diesel,1313.0,R24,0.0
34841,0.0,1.0,B,4.0,13.0,49.0,50.0,B1,Regular,83.0,R24,0.0
34843,0.0,1.0,B,6.0,11.0,49.0,50.0,B1,Diesel,83.0,R24,0.0
34845,0.0,0.14,A,7.0,17.0,51.0,50.0,B2,Diesel,20.0,R24,0.0
34846,0.0,1.0,D,6.0,7.0,32.0,60.0,B2,Diesel,1313.0,R24,0.0
34849,0.0,0.03,D,7.0,7.0,27.0,90.0,B14,Regular,1313.0,R24,0.0
34850,0.0,1.0,C,7.0,1.0,52.0,50.0,B1,Regular,106.0,R24,0.0
34852,0.0,1.0,C,4.0,15.0,29.0,72.0,B2,Regular,369.0,R24,0.0
34854,0.0,0.34,D,7.0,2.0,48.0,50.0,B3,Diesel,1313.0,R24,0.0
34855,0.0,0.39,D,7.0,0.0,48.0,50.0,B1,Diesel,1313.0,R24,0.0
34856,0.0,0.26,D,7.0,0.0,48.0,50.0,B1,Diesel,1313.0,R24,0.0
34859,0.0,1.0,B,5.0,9.0,32.0,50.0,B1,Regular,50.0,R24,0.0
34861,0.0,1.0,D,6.0,8.0,63.0,50.0,B13,Regular,1313.0,R24,0.0
34863,0.0,1.0,D,4.0,18.0,56.0,50.0,B1,Regular,1313.0,R24,0.0
34865,1.0,1.0,C,6.0,4.0,41.0,50.0,B12,Regular,214.0,R24,1128.12
34867,0.0,0.45,D,4.0,9.0,59.0,50.0,B12,Regular,1313.0,R24,0.0
34868,0.0,0.01,D,4.0,0.0,59.0,50.0,B12,Regular,1313.0,R24,0.0
34869,0.0,0.53,D,4.0,0.0,59.0,50.0,B12,Regular,1313.0,R24,0.0
34872,0.0,0.41,C,11.0,19.0,52.0,50.0,B11,Regular,106.0,R24,0.0
34873,0.0,0.58,C,11.0,7.0,52.0,50.0,B2,Regular,106.0,R24,0.0
34875,0.0,1.0,D,6.0,3.0,51.0,61.0,B3,Regular,1313.0,R24,0.0
34877,0.0,1.0,C,6.0,15.0,45.0,50.0,B2,Diesel,214.0,R24,0.0
34879,0.0,0.24,A,7.0,11.0,29.0,50.0,B3,Diesel,14.0,R24,0.0
34881,0.0,1.0,B,5.0,9.0,47.0,50.0,B3,Regular,61.0,R24,0.0
34883,0.0,1.0,D,6.0,10.0,47.0,50.0,B1,Diesel,1812.0,R11,0.0
34885,0.0,1.0,B,5.0,14.0,46.0,50.0,B4,Regular,84.0,R24,0.0
34887,0.0,1.0,D,6.0,2.0,41.0,50.0,B2,Diesel,1313.0,R24,0.0
34889,0.0,1.0,E,9.0,2.0,60.0,72.0,B6,Regular,9484.0,R11,0.0
34891,0.0,0.52,E,5.0,5.0,39.0,50.0,B1,Regular,7259.0,R31,0.0
34892,0.0,0.47,E,5.0,5.0,39.0,50.0,B1,Regular,7259.0,R31,0.0
34894,0.0,0.89,A,5.0,5.0,40.0,50.0,B4,Diesel,33.0,R82,0.0
34895,0.0,1.0,D,6.0,18.0,54.0,50.0,B3,Diesel,1313.0,R24,0.0
34897,0.0,1.0,C,5.0,2.0,42.0,50.0,B2,Regular,369.0,R24,0.0
34899,0.0,1.0,E,5.0,4.0,28.0,60.0,B1,Regular,4116.0,R24,0.0
34903,0.0,1.0,C,5.0,15.0,35.0,50.0,B12,Diesel,101.0,R24,0.0
34905,0.0,1.0,A,7.0,18.0,63.0,50.0,B1,Regular,11.0,R24,0.0
34907,0.0,0.18,D,8.0,19.0,21.0,112.0,B10,Diesel,1313.0,R24,0.0
34908,0.0,0.81,D,5.0,10.0,21.0,100.0,B1,Regular,1313.0,R24,0.0
34911,0.0,0.2,C,6.0,10.0,42.0,50.0,B2,Diesel,226.0,R24,0.0
34912,0.0,0.02,C,7.0,5.0,42.0,50.0,B10,Diesel,226.0,R24,0.0
34913,0.0,0.09,C,7.0,5.0,42.0,50.0,B10,Diesel,226.0,R24,0.0
34914,0.0,0.49,C,6.0,10.0,42.0,50.0,B2,Diesel,226.0,R24,0.0
34915,0.0,0.06,C,7.0,2.0,42.0,50.0,B1,Diesel,226.0,R24,0.0
34916,0.0,0.12,C,7.0,2.0,42.0,50.0,B1,Diesel,226.0,R24,0.0
34920,0.0,1.0,D,5.0,7.0,39.0,50.0,B4,Diesel,1313.0,R24,0.0
34922,0.0,1.0,D,5.0,6.0,52.0,50.0,B6,Regular,1313.0,R24,0.0
34924,0.0,1.0,D,6.0,1.0,66.0,50.0,B2,Regular,1313.0,R24,0.0
34926,0.0,0.92,C,5.0,3.0,31.0,56.0,B2,Regular,155.0,R24,0.0
34927,0.0,0.07,C,5.0,3.0,31.0,50.0,B4,Regular,155.0,R24,0.0
34929,0.0,0.67,C,6.0,11.0,32.0,95.0,B6,Diesel,119.0,R82,0.0
34932,1.0,0.37,C,6.0,7.0,41.0,72.0,B6,Diesel,208.0,R82,1430.17
34933,0.0,0.62,C,6.0,7.0,41.0,68.0,B6,Diesel,208.0,R82,0.0
34937,0.0,1.0,C,6.0,3.0,34.0,50.0,B3,Regular,194.0,R82,0.0
34941,0.0,1.0,E,7.0,16.0,57.0,50.0,B1,Regular,5449.0,R82,0.0
34943,0.0,1.0,A,8.0,13.0,33.0,68.0,B12,Regular,24.0,R82,0.0
34946,0.0,1.0,D,7.0,5.0,58.0,50.0,B2,Regular,1328.0,R82,0.0
34948,0.0,1.0,C,5.0,10.0,35.0,50.0,B1,Regular,138.0,R82,0.0
34951,0.0,1.0,A,5.0,14.0,39.0,54.0,B2,Regular,24.0,R82,0.0
34953,0.0,0.21,E,5.0,7.0,26.0,72.0,B3,Diesel,5449.0,R82,0.0
34954,0.0,0.78,E,5.0,7.0,26.0,64.0,B3,Diesel,5449.0,R82,0.0
34956,0.0,1.0,E,5.0,8.0,45.0,100.0,B2,Diesel,2472.0,R82,0.0
34958,0.0,1.0,E,6.0,3.0,37.0,57.0,B2,Diesel,5449.0,R82,0.0
34961,0.0,1.0,D,4.0,9.0,28.0,76.0,B1,Regular,1328.0,R82,0.0
34963,0.0,0.98,C,5.0,13.0,33.0,51.0,B2,Regular,114.0,R82,0.0
34964,0.0,0.01,C,5.0,13.0,33.0,50.0,B2,Diesel,114.0,R82,0.0
34966,0.0,1.0,E,5.0,9.0,44.0,50.0,B2,Diesel,5449.0,R82,0.0
34968,0.0,0.58,A,4.0,10.0,61.0,68.0,B5,Regular,49.0,R82,0.0
34972,0.0,1.0,E,5.0,13.0,45.0,76.0,B4,Diesel,5449.0,R82,0.0
34975,0.0,1.0,C,6.0,7.0,27.0,51.0,B2,Regular,145.0,R82,0.0
34977,0.0,1.0,E,6.0,7.0,37.0,112.0,B5,Regular,5449.0,R82,0.0
34980,0.0,0.27,C,5.0,3.0,32.0,80.0,B3,Diesel,118.0,R82,0.0
34981,0.0,0.72,C,5.0,3.0,32.0,68.0,B3,Diesel,118.0,R82,0.0
34983,0.0,1.0,E,7.0,14.0,40.0,50.0,B1,Regular,5449.0,R82,0.0
34985,0.0,0.28,D,13.0,10.0,54.0,50.0,B3,Regular,1695.0,R82,0.0
34986,0.0,1.0,E,8.0,8.0,55.0,50.0,B6,Diesel,5449.0,R82,0.0
34988,0.0,1.0,C,8.0,13.0,30.0,57.0,B2,Regular,210.0,R82,0.0
34990,0.0,0.96,C,6.0,4.0,31.0,85.0,B3,Regular,150.0,R82,0.0
34991,0.0,0.03,C,5.0,11.0,31.0,68.0,B4,Regular,150.0,R82,0.0
34993,0.0,0.33,C,7.0,6.0,48.0,66.0,B2,Regular,245.0,R82,0.0
34994,1.0,1.0,D,6.0,3.0,29.0,57.0,B4,Regular,1693.0,R82,65.64
34996,0.0,1.0,D,6.0,9.0,58.0,50.0,B4,Regular,1328.0,R82,0.0
34998,0.0,0.28,E,5.0,14.0,51.0,68.0,B3,Regular,5449.0,R82,0.0
34999,0.0,0.71,E,6.0,9.0,51.0,64.0,B2,Diesel,5449.0,R82,0.0
35002,0.0,1.0,D,7.0,7.0,26.0,80.0,B1,Regular,1328.0,R82,0.0
35006,0.0,1.0,A,11.0,7.0,42.0,50.0,B1,Regular,37.0,R82,0.0
35008,0.0,1.0,A,5.0,6.0,38.0,106.0,B4,Diesel,31.0,R82,0.0
35010,0.0,0.8,E,11.0,11.0,57.0,50.0,B11,Regular,5449.0,R82,0.0
35011,0.0,1.0,D,5.0,3.0,30.0,76.0,B6,Regular,1328.0,R82,0.0
35013,0.0,0.37,E,7.0,6.0,55.0,68.0,B11,Diesel,5449.0,R82,0.0
35014,0.0,0.13,E,7.0,6.0,55.0,68.0,B11,Diesel,5449.0,R82,0.0
35015,1.0,0.48,E,10.0,10.0,55.0,64.0,B1,Regular,5449.0,R82,1863.17
35017,0.0,0.38,C,6.0,4.0,33.0,90.0,B1,Diesel,145.0,R82,0.0
35018,0.0,0.61,C,6.0,4.0,33.0,80.0,B1,Diesel,145.0,R82,0.0
35020,0.0,1.0,C,5.0,7.0,51.0,54.0,B2,Regular,190.0,R82,0.0
35022,0.0,1.0,D,7.0,4.0,51.0,50.0,B3,Regular,553.0,R82,0.0
35024,0.0,1.0,A,4.0,7.0,41.0,95.0,B2,Regular,15.0,R82,0.0
35026,0.0,0.37,D,6.0,11.0,56.0,50.0,B3,Regular,1557.0,R82,0.0
35027,0.0,0.04,C,8.0,15.0,43.0,63.0,B11,Regular,150.0,R82,0.0
35028,1.0,0.54,D,7.0,13.0,42.0,91.0,B1,Regular,1695.0,R82,1128.12
35029,0.0,0.45,D,7.0,13.0,42.0,86.0,B1,Regular,1695.0,R82,0.0
35031,0.0,0.45,C,4.0,10.0,44.0,57.0,B3,Regular,118.0,R82,0.0
35032,0.0,0.54,C,4.0,10.0,44.0,51.0,B3,Regular,118.0,R82,0.0
35034,0.0,1.0,C,5.0,4.0,27.0,80.0,B1,Regular,118.0,R82,0.0
35036,0.0,0.28,D,11.0,0.0,33.0,59.0,B14,Diesel,1328.0,R82,0.0
35037,0.0,0.55,D,11.0,0.0,33.0,53.0,B14,Diesel,1328.0,R82,0.0
35039,0.0,1.0,A,7.0,3.0,50.0,50.0,B2,Diesel,16.0,R82,0.0
35041,0.0,1.0,A,7.0,13.0,29.0,72.0,B1,Regular,43.0,R82,0.0
35043,0.0,0.49,C,5.0,35.0,28.0,64.0,B1,Regular,209.0,R82,0.0
35044,0.0,1.0,D,7.0,5.0,39.0,50.0,B2,Regular,745.0,R82,0.0
35046,0.0,1.0,B,7.0,12.0,53.0,72.0,B2,Regular,82.0,R82,0.0
35048,0.0,1.0,C,5.0,5.0,54.0,50.0,B1,Regular,194.0,R82,0.0
35050,0.0,1.0,C,9.0,7.0,53.0,50.0,B14,Regular,105.0,R82,0.0
35052,0.0,0.49,C,15.0,18.0,52.0,50.0,B1,Regular,194.0,R82,0.0
35053,0.0,0.49,C,7.0,27.0,52.0,50.0,B2,Regular,194.0,R82,0.0
35054,0.0,0.49,C,9.0,20.0,52.0,50.0,B12,Regular,194.0,R82,0.0
35055,0.0,0.93,B,5.0,17.0,77.0,50.0,B5,Regular,82.0,R82,0.0
35056,0.0,0.06,B,5.0,8.0,77.0,50.0,B2,Regular,82.0,R82,0.0
35058,0.0,0.56,C,4.0,7.0,48.0,50.0,B6,Regular,209.0,R82,0.0
35059,0.0,0.43,C,6.0,1.0,48.0,50.0,B5,Regular,209.0,R82,0.0
35064,0.0,1.0,A,6.0,12.0,55.0,53.0,B1,Diesel,33.0,R82,0.0
35066,0.0,0.05,B,6.0,7.0,40.0,76.0,B2,Diesel,80.0,R82,0.0
35067,0.0,0.94,B,7.0,2.0,40.0,85.0,B2,Regular,80.0,R82,0.0
35069,0.0,1.0,C,14.0,3.0,45.0,52.0,B11,Regular,245.0,R82,0.0
35072,1.0,1.0,C,5.0,4.0,55.0,52.0,B2,Diesel,382.0,R82,1128.12
35074,0.0,0.78,C,7.0,3.0,61.0,77.0,B3,Regular,116.0,R82,0.0
35076,0.0,1.0,C,5.0,3.0,53.0,50.0,B3,Diesel,382.0,R82,0.0
35078,0.0,1.0,C,8.0,3.0,33.0,57.0,B1,Diesel,366.0,R82,0.0
35080,0.0,0.77,C,9.0,14.0,34.0,80.0,B3,Regular,210.0,R82,0.0
35082,0.0,1.0,C,9.0,13.0,35.0,72.0,B1,Regular,101.0,R82,0.0
35084,1.0,1.0,E,6.0,2.0,63.0,50.0,B1,Regular,5449.0,R82,3518.73
35086,0.0,1.0,A,9.0,9.0,32.0,68.0,B2,Regular,15.0,R83,0.0
35089,0.0,0.64,E,7.0,3.0,35.0,50.0,B1,Diesel,2411.0,R11,0.0
35090,0.0,0.00273224043715847,E,7.0,3.0,35.0,50.0,B1,Diesel,2411.0,R11,0.0
35091,0.0,0.35,E,7.0,3.0,35.0,50.0,B1,Diesel,2411.0,R11,0.0
35095,0.0,1.0,D,7.0,3.0,44.0,50.0,B1,Regular,979.0,R42,0.0
35097,0.0,1.0,C,6.0,9.0,56.0,60.0,B14,Regular,204.0,R82,0.0
35100,0.0,0.65,C,7.0,1.0,32.0,72.0,B6,Regular,245.0,R82,0.0
35101,0.0,0.34,C,7.0,1.0,32.0,57.0,B6,Regular,245.0,R82,0.0
35103,0.0,0.66,E,8.0,9.0,30.0,68.0,B10,Diesel,5449.0,R82,0.0
35104,1.0,0.33,E,8.0,9.0,30.0,64.0,B10,Diesel,5449.0,R82,70.78
35107,0.0,0.34,E,4.0,12.0,32.0,80.0,B6,Regular,5449.0,R82,0.0
35108,0.0,0.65,E,9.0,24.0,32.0,68.0,B3,Regular,5449.0,R82,0.0
35110,0.0,1.0,D,11.0,2.0,54.0,50.0,B12,Regular,1482.0,R82,0.0
35112,0.0,1.0,A,4.0,11.0,32.0,68.0,B5,Regular,15.0,R83,0.0
35114,0.0,0.69,C,7.0,13.0,50.0,76.0,B11,Regular,200.0,R82,0.0
35115,0.0,0.3,C,8.0,11.0,50.0,64.0,B11,Regular,200.0,R82,0.0
35117,0.0,1.0,E,7.0,10.0,25.0,68.0,B2,Regular,5449.0,R82,0.0
35120,0.0,1.0,C,6.0,10.0,53.0,50.0,B1,Diesel,124.0,R91,0.0
35125,1.0,1.0,C,5.0,1.0,63.0,50.0,B12,Regular,263.0,R82,2723.29
35129,0.0,1.0,D,6.0,6.0,46.0,57.0,B3,Diesel,1328.0,R82,0.0
35131,0.0,1.0,D,5.0,5.0,39.0,50.0,B6,Regular,1328.0,R82,0.0
35134,0.0,0.35,E,6.0,15.0,58.0,50.0,B4,Regular,5449.0,R82,0.0
35135,0.0,0.64,E,7.0,12.0,58.0,50.0,B1,Regular,5449.0,R82,0.0
35137,0.0,1.0,D,7.0,9.0,46.0,50.0,B1,Regular,745.0,R82,0.0
35139,0.0,0.63,A,10.0,10.0,45.0,85.0,B12,Diesel,49.0,R82,0.0
